gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep_(jaar);geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;15 – 64;Vrouwelijk;1456
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;65 – ...;Mannelijk;574
Vlaams Gewest;Antwerpen;Antwerpen;11057.0;2390.0;Malle;65 – ...;Vrouwelijk;769
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar; 0 – 14;Mannelijk;108
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar; 0 – 14;Vrouwelijk;77
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;15 – 64;Mannelijk;762
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;15 – 64;Vrouwelijk;1118
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;65 – ...;Mannelijk;497
Vlaams Gewest;Antwerpen;Mechelen;12002.0;2590.0;Berlaar;65 – ...;Vrouwelijk;513
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden; 0 – 14;Mannelijk;170
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden; 0 – 14;Vrouwelijk;135
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;15 – 64;Mannelijk;954
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;15 – 64;Vrouwelijk;1348
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;65 – ...;Mannelijk;1122
Vlaams Gewest;Antwerpen;Mechelen;12005.0;2820.0;Bonheiden;65 – ...;Vrouwelijk;1056
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem; 0 – 14;Mannelijk;204
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem; 0 – 14;Vrouwelijk;134
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;15 – 64;Mannelijk;1749
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;15 – 64;Vrouwelijk;2554
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;65 – ...;Mannelijk;1189
Vlaams Gewest;Antwerpen;Mechelen;12007.0;2880.0;Bornem;65 – ...;Vrouwelijk;1143
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel; 0 – 14;Mannelijk;124
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel; 0 – 14;Vrouwelijk;76
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;15 – 64;Mannelijk;1178
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;15 – 64;Vrouwelijk;1743
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;65 – ...;Mannelijk;693
Vlaams Gewest;Antwerpen;Mechelen;12009.0;2570.0;Duffel;65 – ...;Vrouwelijk;841
Vlaams Gewest;Antwerpen;Mechelen;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Mannelijk;329
