gewest;provincie;arrondissement;nis-code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;Actieven;Mannelijk;1333
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;Actieven;Vrouwelijk;1781
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;Bejaarden;Mannelijk;948
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;Bejaarden;Vrouwelijk;1179
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;Kinderen;Mannelijk;316
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;Kinderen;Vrouwelijk;190
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;Actieven;Mannelijk;1715
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;Actieven;Vrouwelijk;2613
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;Bejaarden;Mannelijk;1014
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;Bejaarden;Vrouwelijk;1267
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;Kinderen;Mannelijk;153
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;Kinderen;Vrouwelijk;168
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;Actieven;Mannelijk;870
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;Actieven;Vrouwelijk;1233
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;Bejaarden;Mannelijk;610
