région;province;arrondissement;code_ins;code_postal;commune;classe_d'âge;sexe;nombre_de_séjours
Région flamande;Anvers;Malines;12009.0;2570.0;Duffel;65 – ...;Féminin;1111
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Masculin;308
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Féminin;205
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Masculin;2497
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Féminin;4070
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Masculin;1867
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;65 – ...;Féminin;1919
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre; 0 – 14;Masculin;301
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre; 0 – 14;Féminin;165
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;15 – 64;Masculin;2063
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;15 – 64;Féminin;3898
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;65 – ...;Masculin;1803
Région flamande;Anvers;Malines;12021.0;2500.0;Lierre;65 – ...;Féminin;1689
Région flamande;Anvers;Malines;12025.0;2800.0;Malines; 0 – 14;Masculin;1097
Région flamande;Anvers;Malines;12025.0;2800.0;Malines; 0 – 14;Féminin;697
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;15 – 64;Masculin;4736
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;15 – 64;Féminin;8023
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;65 – ...;Masculin;3104
Région flamande;Anvers;Malines;12025.0;2800.0;Malines;65 – ...;Féminin;3952
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen; 0 – 14;Masculin;207
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen; 0 – 14;Féminin;102
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;15 – 64;Masculin;1424
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;15 – 64;Féminin;2321
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;65 – ...;Masculin;1037
Région flamande;Anvers;Malines;12026.0;2560.0;Nijlen;65 – ...;Féminin;1045
Région flamande;Anvers;Malines;12029.0;2580.0;Putte; 0 – 14;Masculin;172
Région flamande;Anvers;Malines;12029.0;2580.0;Putte; 0 – 14;Féminin;107
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;15 – 64;Masculin;1134
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;15 – 64;Féminin;1531
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;65 – ...;Masculin;811
Région flamande;Anvers;Malines;12029.0;2580.0;Putte;65 – ...;Féminin;847
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs; 0 – 14;Masculin;120
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs; 0 – 14;Féminin;138
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;15 – 64;Masculin;1234
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;15 – 64;Féminin;1816
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;65 – ...;Masculin;811
Région flamande;Anvers;Malines;12030.0;2870.0;Puurs;65 – ...;Féminin;823
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands; 0 – 14;Masculin;66
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands; 0 – 14;Féminin;42
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;15 – 64;Masculin;514
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;15 – 64;Féminin;785
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;65 – ...;Masculin;450
Région flamande;Anvers;Malines;12034.0;2890.0;Sint-Amands;65 – ...;Féminin;451
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver; 0 – 14;Masculin;186
Région flamande;Anvers;Malines;12035.0;2860.0;Sint-Katelijne-Waver; 0 – 14;Féminin;141
