gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;klassieke_hospita-_lisatie
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Vrouwelijk;566
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Mannelijk;577
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Vrouwelijk;507
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Mannelijk;63
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;0 - 14;Vrouwelijk;63
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Mannelijk;339
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;15 - 64;Vrouwelijk;527
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Mannelijk;498
Vlaams Gewest;Antwerpen;Antwerpen;11037;2840;Rumst;65 - ...;Vrouwelijk;446
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Mannelijk;41
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;0 - 14;Vrouwelijk;22
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Mannelijk;202
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;15 - 64;Vrouwelijk;320
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Mannelijk;204
Vlaams Gewest;Antwerpen;Antwerpen;11038;2627;Schelle;65 - ...;Vrouwelijk;229
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Mannelijk;105
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Vrouwelijk;86
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Mannelijk;450
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Vrouwelijk;578
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Mannelijk;666
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Vrouwelijk;590
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Mannelijk;165
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Vrouwelijk;137
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Mannelijk;773
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Vrouwelijk;1136
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Mannelijk;992
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Vrouwelijk;1054
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;0 - 14;Mannelijk;79
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;0 - 14;Vrouwelijk;78
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;15 - 64;Mannelijk;488
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;15 - 64;Vrouwelijk;733
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;65 - ...;Mannelijk;537
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;65 - ...;Vrouwelijk;479
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;0 - 14;Mannelijk;52
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;0 - 14;Vrouwelijk;34
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;15 - 64;Mannelijk;233
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;15 - 64;Vrouwelijk;331
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;65 - ...;Mannelijk;318
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;65 - ...;Vrouwelijk;281
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;0 - 14;Mannelijk;74
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;0 - 14;Vrouwelijk;60
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;15 - 64;Mannelijk;334
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;15 - 64;Vrouwelijk;457
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;65 - ...;Mannelijk;474
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;65 - ...;Vrouwelijk;394
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;0 - 14;Mannelijk;97
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;0 - 14;Vrouwelijk;91
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;15 - 64;Mannelijk;607
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;15 - 64;Vrouwelijk;735
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;65 - ...;Mannelijk;522
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;65 - ...;Vrouwelijk;454
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;0 - 14;Mannelijk;70
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;0 - 14;Vrouwelijk;58
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;15 - 64;Mannelijk;311
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;15 - 64;Vrouwelijk;403
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;65 - ...;Mannelijk;394
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;65 - ...;Vrouwelijk;366
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;0 - 14;Mannelijk;120
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;0 - 14;Vrouwelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;15 - 64;Mannelijk;530
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;15 - 64;Vrouwelijk;686
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;65 - ...;Mannelijk;826
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;65 - ...;Vrouwelijk;732
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;0 - 14;Mannelijk;64
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;0 - 14;Vrouwelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;15 - 64;Mannelijk;496
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;15 - 64;Vrouwelijk;660
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;65 - ...;Mannelijk;611
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;65 - ...;Vrouwelijk;578
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;0 - 14;Mannelijk;83
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;0 - 14;Vrouwelijk;86
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Mannelijk;417
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Vrouwelijk;546
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Mannelijk;465
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Vrouwelijk;455
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Mannelijk;56
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Vrouwelijk;35
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Mannelijk;278
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Vrouwelijk;382
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Mannelijk;374
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Vrouwelijk;389
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Mannelijk;67
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Vrouwelijk;60
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Mannelijk;345
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Vrouwelijk;462
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Mannelijk;556
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Vrouwelijk;609
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Mannelijk;71
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Vrouwelijk;59
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Mannelijk;557
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Vrouwelijk;797
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Mannelijk;730
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Vrouwelijk;621
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Mannelijk;59
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Vrouwelijk;59
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Mannelijk;455
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Vrouwelijk;648
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Mannelijk;581
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Vrouwelijk;613
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Mannelijk;220
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Vrouwelijk;219
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Mannelijk;1050
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Vrouwelijk;1533
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Mannelijk;1479
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Vrouwelijk;1469
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;0 - 14;Mannelijk;230
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;0 - 14;Vrouwelijk;188
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;15 - 64;Mannelijk;895
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;15 - 64;Vrouwelijk;1333
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;65 - ...;Mannelijk;1001
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;65 - ...;Vrouwelijk;1064
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;0 - 14;Mannelijk;556
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;0 - 14;Vrouwelijk;461
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;15 - 64;Mannelijk;2214
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;15 - 64;Vrouwelijk;3394
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;65 - ...;Mannelijk;2389
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;65 - ...;Vrouwelijk;2546
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;0 - 14;Mannelijk;111
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;0 - 14;Vrouwelijk;128
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;15 - 64;Mannelijk;524
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;15 - 64;Vrouwelijk;744
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;65 - ...;Mannelijk;680
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;65 - ...;Vrouwelijk;670
