région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Anvers;11021;2540;Hove;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Masculin;279
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Féminin;222
Région flamande;Anvers;Anvers;11021;2540;Hove;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Masculin;92
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Féminin;102
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Masculin;464
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Féminin;688
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Masculin;637
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Féminin;599
Région flamande;Anvers;Anvers;11022;2920;Kalmthout;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Masculin;160
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Féminin;105
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);0 - 14;Changé;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Masculin;678
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Féminin;1 027
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Masculin;939
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Féminin;908
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Changé;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;100
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;109
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;570
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;778
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;720
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;645
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;55
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;31
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;190
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;331
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;205
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;210
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;174
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;134
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;636
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;1 037
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Changé;5
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;676
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;815
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;76
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;83
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;273
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;476
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;254
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;237
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;182
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;85
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;505
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;710
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;658
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;556
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;97
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;80
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;404
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;567
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;511
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;468
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;53
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;50
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;247
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;321
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Changé;< 5
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;278
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;275
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;155
