région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;nombre_de_séjours
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Féminin;845
Région flamande;Anvers;Anvers;11055;2980;Zoersel;15 - 64;Masculin;699
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Masculin;847
Région flamande;Anvers;Anvers;11055;2980;Zoersel;65 - ...;Féminin;795
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Masculin;138
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;0 - 14;Féminin;100
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Masculin;640
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;15 - 64;Féminin;905
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Féminin;708
Région flamande;Anvers;Anvers;11056;2070;Zwijndrecht;65 - ...;Masculin;647
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Masculin;148
Région flamande;Anvers;Anvers;11057;2390;Malle;0 - 14;Féminin;110
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Masculin;458
Région flamande;Anvers;Anvers;11057;2390;Malle;15 - 64;Féminin;615
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Féminin;501
Région flamande;Anvers;Anvers;11057;2390;Malle;65 - ...;Masculin;514
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Féminin;60
Région flamande;Anvers;Malines;12002;2590;Berlaar;0 - 14;Masculin;84
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Masculin;315
Région flamande;Anvers;Malines;12002;2590;Berlaar;15 - 64;Féminin;443
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Masculin;391
Région flamande;Anvers;Malines;12002;2590;Berlaar;65 - ...;Féminin;416
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Féminin;74
Région flamande;Anvers;Malines;12005;2820;Bonheiden;0 - 14;Masculin;87
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Masculin;368
Région flamande;Anvers;Malines;12005;2820;Bonheiden;15 - 64;Féminin;548
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Masculin;635
Région flamande;Anvers;Malines;12005;2820;Bonheiden;65 - ...;Féminin;614
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Masculin;92
Région flamande;Anvers;Malines;12007;2880;Bornem;0 - 14;Féminin;75
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Masculin;715
Région flamande;Anvers;Malines;12007;2880;Bornem;15 - 64;Féminin;900
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Masculin;783
Région flamande;Anvers;Malines;12007;2880;Bornem;65 - ...;Féminin;775
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Masculin;86
Région flamande;Anvers;Malines;12009;2570;Duffel;0 - 14;Féminin;75
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Féminin;814
Région flamande;Anvers;Malines;12009;2570;Duffel;15 - 64;Masculin;542
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Masculin;497
Région flamande;Anvers;Malines;12009;2570;Duffel;65 - ...;Féminin;681
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Féminin;195
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;0 - 14;Masculin;276
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Féminin;1832
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;15 - 64;Masculin;1290
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Masculin;1420
Région flamande;Anvers;Malines;12014;2220;Heist-op-den-Berg;65 - ...;Féminin;1468
