région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge_(ans);sexe;nombre_de_séjours
Région flamande;Anvers;Malines;12002.0;2590.0;Berlaar; 0 – 14;Féminin;70
Région flamande;Anvers;Malines;12002.0;2590.0;Berlaar;15 – 64;Masculin;321
Région flamande;Anvers;Malines;12002.0;2590.0;Berlaar;15 – 64;Féminin;482
Région flamande;Anvers;Malines;12002.0;2590.0;Berlaar;65 – ...;Masculin;324
Région flamande;Anvers;Malines;12002.0;2590.0;Berlaar;65 – ...;Féminin;366
Région flamande;Anvers;Malines;12005.0;2820.0;Bonheiden; 0 – 14;Masculin;115
Région flamande;Anvers;Malines;12005.0;2820.0;Bonheiden; 0 – 14;Féminin;92
Région flamande;Anvers;Malines;12005.0;2820.0;Bonheiden;15 – 64;Masculin;449
Région flamande;Anvers;Malines;12005.0;2820.0;Bonheiden;15 – 64;Féminin;629
Région flamande;Anvers;Malines;12005.0;2820.0;Bonheiden;65 – ...;Masculin;601
Région flamande;Anvers;Malines;12005.0;2820.0;Bonheiden;65 – ...;Féminin;638
Région flamande;Anvers;Malines;12007.0;2880.0;Bornem; 0 – 14;Masculin;76
Région flamande;Anvers;Malines;12007.0;2880.0;Bornem; 0 – 14;Féminin;48
Région flamande;Anvers;Malines;12007.0;2880.0;Bornem;15 – 64;Masculin;706
Région flamande;Anvers;Malines;12007.0;2880.0;Bornem;15 – 64;Féminin;928
Région flamande;Anvers;Malines;12007.0;2880.0;Bornem;65 – ...;Masculin;682
Région flamande;Anvers;Malines;12007.0;2880.0;Bornem;65 – ...;Féminin;639
Région flamande;Anvers;Malines;12009.0;2570.0;Duffel; 0 – 14;Masculin;109
Région flamande;Anvers;Malines;12009.0;2570.0;Duffel; 0 – 14;Féminin;82
Région flamande;Anvers;Malines;12009.0;2570.0;Duffel;15 – 64;Masculin;608
Région flamande;Anvers;Malines;12009.0;2570.0;Duffel;15 – 64;Féminin;822
Région flamande;Anvers;Malines;12009.0;2570.0;Duffel;65 – ...;Masculin;545
Région flamande;Anvers;Malines;12009.0;2570.0;Duffel;65 – ...;Féminin;592
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Masculin;280
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg; 0 – 14;Féminin;240
Région flamande;Anvers;Malines;12014.0;2220.0;Heist-op-den-Berg;15 – 64;Masculin;1359
