région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_classique
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Masculin;101
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Féminin;84
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Masculin;481
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Féminin;756
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Masculin;661
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Féminin;669
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Masculin;127
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Féminin;117
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Masculin;693
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Féminin;1112
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Masculin;749
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Féminin;779
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;0 - 14;Masculin;88
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;0 - 14;Féminin;80
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;15 - 64;Masculin;631
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;15 - 64;Féminin;895
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;65 - ...;Masculin;841
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;65 - ...;Féminin;759
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Masculin;73
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Féminin;63
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Masculin;338
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Féminin;462
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Masculin;345
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Féminin;333
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Masculin;18
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Féminin;13
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Masculin;38
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Féminin;91
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Masculin;88
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Féminin;65
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Masculin;141
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Féminin;188
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Masculin;698
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Féminin;945
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Masculin;754
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Féminin;650
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Masculin;105
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Féminin;77
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Masculin;425
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Féminin;613
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Masculin;497
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Féminin;434
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Masculin;70
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Féminin;56
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Masculin;258
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Féminin;359
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Masculin;349
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Féminin;251
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Masculin;240
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Féminin;209
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Masculin;1264
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Féminin;1521
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Masculin;1216
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Féminin;1206
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Masculin;55
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Féminin;68
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Masculin;249
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Féminin;373
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Masculin;374
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Féminin;292
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Masculin;142
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Féminin;121
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Masculin;754
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Féminin;1092
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Masculin;851
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Féminin;920
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Masculin;33
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;0 - 14;Féminin;42
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Masculin;226
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;15 - 64;Féminin;316
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Masculin;311
Région flamande;Anvers;Turnhout;13012;2270;Herenthout;65 - ...;Féminin;336
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Masculin;44
Région flamande;Anvers;Turnhout;13013;2230;Herselt;0 - 14;Féminin;44
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Masculin;401
Région flamande;Anvers;Turnhout;13013;2230;Herselt;15 - 64;Féminin;522
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Masculin;518
Région flamande;Anvers;Turnhout;13013;2230;Herselt;65 - ...;Féminin;458
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Masculin;136
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;0 - 14;Féminin;85
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Masculin;430
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;15 - 64;Féminin;657
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Masculin;621
Région flamande;Anvers;Turnhout;13014;2320;Hoogstraten;65 - ...;Féminin;486
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;0 - 14;Masculin;54
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;0 - 14;Féminin;54
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;15 - 64;Masculin;305
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;15 - 64;Féminin;382
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;65 - ...;Masculin;356
Région flamande;Anvers;Turnhout;13016;2235;Hulshout;65 - ...;Féminin;348
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;0 - 14;Masculin;72
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;0 - 14;Féminin;87
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;15 - 64;Masculin;482
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;15 - 64;Féminin;640
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;65 - ...;Masculin;580
Région flamande;Anvers;Turnhout;13017;2460;Kasterlee;65 - ...;Féminin;485
Région flamande;Anvers;Turnhout;13019;2275;Lille;0 - 14;Masculin;104
Région flamande;Anvers;Turnhout;13019;2275;Lille;0 - 14;Féminin;89
Région flamande;Anvers;Turnhout;13019;2275;Lille;15 - 64;Masculin;448
