gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;daghospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Mannelijk;101
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;0 - 14;Vrouwelijk;77
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Mannelijk;1.247
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;15 - 64;Vrouwelijk;1.778
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Mannelijk;1.530
Vlaams Gewest;Antwerpen;Antwerpen;11039;2970;Schilde;65 - ...;Vrouwelijk;1.412
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Mannelijk;263
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Vrouwelijk;295
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Mannelijk;2.457
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Vrouwelijk;3.615
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Mannelijk;2.207
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Vrouwelijk;2.259
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;0 - 14;Mannelijk;137
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;0 - 14;Vrouwelijk;93
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;15 - 64;Mannelijk;1.404
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;15 - 64;Vrouwelijk;1.998
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;65 - ...;Mannelijk;1.251
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;65 - ...;Vrouwelijk;891
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;0 - 14;Mannelijk;56
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;0 - 14;Vrouwelijk;42
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;15 - 64;Mannelijk;595
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;15 - 64;Vrouwelijk;955
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;65 - ...;Mannelijk;574
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;65 - ...;Vrouwelijk;615
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;0 - 14;Mannelijk;107
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;0 - 14;Vrouwelijk;76
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;15 - 64;Mannelijk;1.101
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;15 - 64;Vrouwelijk;1.419
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;65 - ...;Mannelijk;767
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;65 - ...;Vrouwelijk;688
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;0 - 14;Mannelijk;198
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;0 - 14;Vrouwelijk;145
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;15 - 64;Mannelijk;1.189
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;15 - 64;Vrouwelijk;1.946
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;65 - ...;Mannelijk;1.217
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;65 - ...;Vrouwelijk;992
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;0 - 14;Mannelijk;97
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;0 - 14;Vrouwelijk;88
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;15 - 64;Mannelijk;1.031
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;15 - 64;Vrouwelijk;1.532
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;65 - ...;Mannelijk;982
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;65 - ...;Vrouwelijk;784
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;0 - 14;Mannelijk;136
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;0 - 14;Vrouwelijk;116
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;15 - 64;Mannelijk;1.660
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;15 - 64;Vrouwelijk;2.454
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;65 - ...;Mannelijk;1.791
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;65 - ...;Vrouwelijk;1.707
