région;province;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospitalisation_de_jour
Région flamande;Anvers;Anvers;11023;2950;Kapellen (Anvers);65 - ...;Changé;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Masculin;145
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Féminin;80
Région flamande;Anvers;Anvers;11024;2550;Kontich;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Masculin;1 612
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Féminin;2 085
Région flamande;Anvers;Anvers;11024;2550;Kontich;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Masculin;1 306
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Féminin;1 558
Région flamande;Anvers;Anvers;11024;2550;Kontich;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Masculin;87
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Féminin;49
Région flamande;Anvers;Anvers;11025;2547;Lint;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Masculin;593
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Féminin;1 025
Région flamande;Anvers;Anvers;11025;2547;Lint;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Masculin;559
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Féminin;549
Région flamande;Anvers;Anvers;11025;2547;Lint;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Masculin;256
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Féminin;126
Région flamande;Anvers;Anvers;11029;2640;Mortsel;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Masculin;1 765
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Féminin;2 507
Région flamande;Anvers;Anvers;11029;2640;Mortsel;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Masculin;1 559
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Féminin;1 713
Région flamande;Anvers;Anvers;11029;2640;Mortsel;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Masculin;105
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Féminin;101
Région flamande;Anvers;Anvers;11030;2845;Niel;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Masculin;904
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Féminin;1 184
Région flamande;Anvers;Anvers;11030;2845;Niel;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Masculin;608
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Féminin;592
Région flamande;Anvers;Anvers;11030;2845;Niel;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Masculin;153
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Féminin;70
Région flamande;Anvers;Anvers;11035;2520;Ranst;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Masculin;1 482
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Féminin;2 191
Région flamande;Anvers;Anvers;11035;2520;Ranst;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Masculin;1 496
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Féminin;1 361
Région flamande;Anvers;Anvers;11035;2520;Ranst;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Masculin;112
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Féminin;83
Région flamande;Anvers;Anvers;11037;2840;Rumst;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Masculin;1 159
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Féminin;1 632
Région flamande;Anvers;Anvers;11037;2840;Rumst;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Masculin;1 022
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Féminin;980
Région flamande;Anvers;Anvers;11037;2840;Rumst;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Masculin;75
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Féminin;54
Région flamande;Anvers;Anvers;11038;2627;Schelle;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Masculin;724
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Féminin;1 147
Région flamande;Anvers;Anvers;11038;2627;Schelle;15 - 64;Changé;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Indéfinissable;0
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Masculin;615
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Féminin;692
Région flamande;Anvers;Anvers;11038;2627;Schelle;65 - ...;Changé;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Indéfinissable;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Masculin;129
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Féminin;79
Région flamande;Anvers;Anvers;11039;2970;Schilde;0 - 14;Changé;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Indéfinissable;0
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Masculin;1 367
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Féminin;1 848
Région flamande;Anvers;Anvers;11039;2970;Schilde;15 - 64;Changé;< 5
