gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;klassieke_hospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Vrouwelijk;273
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Mannelijk;279
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Vrouwelijk;222
Vlaams Gewest;Antwerpen;Antwerpen;11021;2540;Hove;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Mannelijk;92
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Vrouwelijk;102
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Mannelijk;464
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Vrouwelijk;688
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Mannelijk;637
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Vrouwelijk;599
Vlaams Gewest;Antwerpen;Antwerpen;11022;2920;Kalmthout;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Mannelijk;160
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Vrouwelijk;105
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Mannelijk;678
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Vrouwelijk;1 027
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Mannelijk;939
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Vrouwelijk;908
Vlaams Gewest;Antwerpen;Antwerpen;11023;2950;Kapellen (Antwerpen);65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Mannelijk;100
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Vrouwelijk;109
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Mannelijk;570
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Vrouwelijk;778
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Mannelijk;720
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Vrouwelijk;645
Vlaams Gewest;Antwerpen;Antwerpen;11024;2550;Kontich;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Mannelijk;55
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Vrouwelijk;31
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Mannelijk;190
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Vrouwelijk;331
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Mannelijk;205
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Vrouwelijk;210
Vlaams Gewest;Antwerpen;Antwerpen;11025;2547;Lint;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Mannelijk;174
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Vrouwelijk;134
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Mannelijk;636
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Vrouwelijk;1 037
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;15 - 64;Veranderd;5
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Mannelijk;676
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Vrouwelijk;815
Vlaams Gewest;Antwerpen;Antwerpen;11029;2640;Mortsel;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Mannelijk;76
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Vrouwelijk;83
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Mannelijk;273
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Vrouwelijk;476
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;15 - 64;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Mannelijk;254
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Vrouwelijk;237
Vlaams Gewest;Antwerpen;Antwerpen;11030;2845;Niel;65 - ...;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Mannelijk;182
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Vrouwelijk;85
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;0 - 14;Veranderd;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Mannelijk;505
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Vrouwelijk;710
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;15 - 64;Veranderd;< 5
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Onbepaalbaar;0
Vlaams Gewest;Antwerpen;Antwerpen;11035;2520;Ranst;65 - ...;Mannelijk;658
