gewest;provincie;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;aantal_verblijven
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;0 - 14;Vrouwelijk;222
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Mannelijk;1050
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;15 - 64;Vrouwelijk;1449
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Mannelijk;1133
Vlaams Gewest;Antwerpen;Antwerpen;11040;2900;Schoten;65 - ...;Vrouwelijk;1305
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;0 - 14;Mannelijk;133
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;0 - 14;Vrouwelijk;105
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;15 - 64;Mannelijk;645
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;15 - 64;Vrouwelijk;875
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;65 - ...;Mannelijk;612
Vlaams Gewest;Antwerpen;Antwerpen;11044;2940;Stabroek;65 - ...;Vrouwelijk;532
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;0 - 14;Mannelijk;84
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;0 - 14;Vrouwelijk;87
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;15 - 64;Mannelijk;303
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;15 - 64;Vrouwelijk;392
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;65 - ...;Mannelijk;292
Vlaams Gewest;Antwerpen;Antwerpen;11050;2110;Wijnegem;65 - ...;Vrouwelijk;389
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;0 - 14;Mannelijk;105
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;0 - 14;Vrouwelijk;93
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;15 - 64;Mannelijk;415
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;15 - 64;Vrouwelijk;567
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;65 - ...;Mannelijk;427
Vlaams Gewest;Antwerpen;Antwerpen;11052;2160;Wommelgem;65 - ...;Vrouwelijk;440
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;0 - 14;Mannelijk;127
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;0 - 14;Vrouwelijk;120
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;15 - 64;Mannelijk;635
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;15 - 64;Vrouwelijk;1004
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;65 - ...;Mannelijk;588
Vlaams Gewest;Antwerpen;Antwerpen;11053;2990;Wuustwezel;65 - ...;Vrouwelijk;549
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;0 - 14;Mannelijk;110
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;0 - 14;Vrouwelijk;79
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;15 - 64;Mannelijk;426
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;15 - 64;Vrouwelijk;560
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;65 - ...;Mannelijk;472
Vlaams Gewest;Antwerpen;Antwerpen;11054;2240;Zandhoven;65 - ...;Vrouwelijk;439
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;0 - 14;Mannelijk;155
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;0 - 14;Vrouwelijk;146
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;15 - 64;Mannelijk;645
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;15 - 64;Vrouwelijk;857
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;65 - ...;Mannelijk;751
Vlaams Gewest;Antwerpen;Antwerpen;11055;2980;Zoersel;65 - ...;Vrouwelijk;746
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;0 - 14;Mannelijk;116
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;0 - 14;Vrouwelijk;85
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;15 - 64;Mannelijk;600
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;15 - 64;Vrouwelijk;895
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;65 - ...;Mannelijk;665
Vlaams Gewest;Antwerpen;Antwerpen;11056;2070;Zwijndrecht;65 - ...;Vrouwelijk;658
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;0 - 14;Mannelijk;134
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;0 - 14;Vrouwelijk;118
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Mannelijk;514
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Vrouwelijk;628
