gewest;provincie_of_brussels_hoofdstedelijk_gewest;arrondissement;nis_code;postcode;gemeente;leeftijdsgroep;geslacht;klassieke_hospitalisatie
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;0 - 14;Vrouwelijk;103
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Mannelijk;489
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;15 - 64;Vrouwelijk;656
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Mannelijk;563
Vlaams Gewest;Antwerpen;Antwerpen;11057;2390;Malle;65 - ...;Vrouwelijk;505
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Mannelijk;74
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;0 - 14;Vrouwelijk;70
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Mannelijk;369
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;15 - 64;Vrouwelijk;488
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Mannelijk;401
Vlaams Gewest;Antwerpen;Mechelen;12002;2590;Berlaar;65 - ...;Vrouwelijk;413
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Mannelijk;111
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;0 - 14;Vrouwelijk;84
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Mannelijk;409
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;15 - 64;Vrouwelijk;546
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Mannelijk;556
Vlaams Gewest;Antwerpen;Mechelen;12005;2820;Bonheiden;65 - ...;Vrouwelijk;634
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Mannelijk;82
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;0 - 14;Vrouwelijk;64
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Mannelijk;737
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;15 - 64;Vrouwelijk;871
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Mannelijk;850
Vlaams Gewest;Antwerpen;Mechelen;12007;2880;Bornem;65 - ...;Vrouwelijk;781
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Mannelijk;105
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;0 - 14;Vrouwelijk;55
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Mannelijk;521
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;15 - 64;Vrouwelijk;750
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Mannelijk;602
Vlaams Gewest;Antwerpen;Mechelen;12009;2570;Duffel;65 - ...;Vrouwelijk;680
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Mannelijk;312
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;0 - 14;Vrouwelijk;245
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Mannelijk;1.356
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;15 - 64;Vrouwelijk;1.834
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Mannelijk;1.632
Vlaams Gewest;Antwerpen;Mechelen;12014;2220;Heist-op-den-Berg;65 - ...;Vrouwelijk;1.571
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;0 - 14;Mannelijk;264
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;0 - 14;Vrouwelijk;234
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;15 - 64;Mannelijk;981
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;15 - 64;Vrouwelijk;1.573
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;65 - ...;Mannelijk;1.078
Vlaams Gewest;Antwerpen;Mechelen;12021;2500;Lier;65 - ...;Vrouwelijk;1.322
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;0 - 14;Mannelijk;699
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;0 - 14;Vrouwelijk;668
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;15 - 64;Mannelijk;2.771
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;15 - 64;Vrouwelijk;4.034
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;65 - ...;Mannelijk;2.710
Vlaams Gewest;Antwerpen;Mechelen;12025;2800;Mechelen;65 - ...;Vrouwelijk;3.127
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;0 - 14;Mannelijk;160
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;0 - 14;Vrouwelijk;144
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;15 - 64;Mannelijk;584
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;15 - 64;Vrouwelijk;849
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;65 - ...;Mannelijk;749
Vlaams Gewest;Antwerpen;Mechelen;12026;2560;Nijlen;65 - ...;Vrouwelijk;735
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;0 - 14;Mannelijk;113
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;0 - 14;Vrouwelijk;93
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;15 - 64;Mannelijk;577
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;15 - 64;Vrouwelijk;777
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;65 - ...;Mannelijk;586
Vlaams Gewest;Antwerpen;Mechelen;12029;2580;Putte;65 - ...;Vrouwelijk;720
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;0 - 14;Mannelijk;108
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;0 - 14;Vrouwelijk;112
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;15 - 64;Mannelijk;621
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;15 - 64;Vrouwelijk;846
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;65 - ...;Mannelijk;634
Vlaams Gewest;Antwerpen;Mechelen;12035;2860;Sint-Katelijne-Waver;65 - ...;Vrouwelijk;819
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;0 - 14;Mannelijk;165
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;0 - 14;Vrouwelijk;116
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;15 - 64;Mannelijk;867
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;15 - 64;Vrouwelijk;1.271
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;65 - ...;Mannelijk;914
Vlaams Gewest;Antwerpen;Mechelen;12040;2830;Willebroek;65 - ...;Vrouwelijk;876
Vlaams Gewest;Antwerpen;Mechelen;12041;2870;Puurs-Sint-Amands;0 - 14;Mannelijk;127
Vlaams Gewest;Antwerpen;Mechelen;12041;2870;Puurs-Sint-Amands;0 - 14;Vrouwelijk;106
Vlaams Gewest;Antwerpen;Mechelen;12041;2870;Puurs-Sint-Amands;15 - 64;Mannelijk;792
Vlaams Gewest;Antwerpen;Mechelen;12041;2870;Puurs-Sint-Amands;15 - 64;Vrouwelijk;1.032
Vlaams Gewest;Antwerpen;Mechelen;12041;2870;Puurs-Sint-Amands;65 - ...;Mannelijk;901
Vlaams Gewest;Antwerpen;Mechelen;12041;2870;Puurs-Sint-Amands;65 - ...;Vrouwelijk;894
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;0 - 14;Mannelijk;99
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;0 - 14;Vrouwelijk;91
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;15 - 64;Mannelijk;420
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;15 - 64;Vrouwelijk;546
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;65 - ...;Mannelijk;397
Vlaams Gewest;Antwerpen;Turnhout;13001;2370;Arendonk;65 - ...;Vrouwelijk;398
Vlaams Gewest;Antwerpen;Turnhout;13002;2387;Baarle-Hertog;0 - 14;Mannelijk;14
Vlaams Gewest;Antwerpen;Turnhout;13002;2387;Baarle-Hertog;0 - 14;Vrouwelijk;10
Vlaams Gewest;Antwerpen;Turnhout;13002;2387;Baarle-Hertog;15 - 64;Mannelijk;71
