région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_de_jour
Région flamande;Anvers;Malines;12021;2500;Lierre;15 - 64;Féminin;4016
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Masculin;2273
Région flamande;Anvers;Malines;12021;2500;Lierre;65 - ...;Féminin;2403
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Masculin;903
Région flamande;Anvers;Malines;12025;2800;Malines;0 - 14;Féminin;558
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Masculin;5182
Région flamande;Anvers;Malines;12025;2800;Malines;15 - 64;Féminin;8171
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Masculin;4029
Région flamande;Anvers;Malines;12025;2800;Malines;65 - ...;Féminin;4917
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Masculin;145
Région flamande;Anvers;Malines;12026;2560;Nijlen;0 - 14;Féminin;91
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Masculin;1628
Région flamande;Anvers;Malines;12026;2560;Nijlen;15 - 64;Féminin;2545
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Masculin;1489
Région flamande;Anvers;Malines;12026;2560;Nijlen;65 - ...;Féminin;1363
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Masculin;113
Région flamande;Anvers;Malines;12029;2580;Putte;0 - 14;Féminin;77
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Masculin;1168
Région flamande;Anvers;Malines;12029;2580;Putte;15 - 64;Féminin;1495
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Masculin;1038
Région flamande;Anvers;Malines;12029;2580;Putte;65 - ...;Féminin;1264
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Masculin;162
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;0 - 14;Féminin;88
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Masculin;1295
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Féminin;1988
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Masculin;1369
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Féminin;1620
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Masculin;189
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Féminin;117
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Masculin;1859
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Féminin;2856
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Masculin;1357
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Féminin;1470
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;0 - 14;Masculin;170
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;0 - 14;Féminin;124
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;15 - 64;Masculin;1848
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;15 - 64;Féminin;2831
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;65 - ...;Masculin;1735
Région flamande;Anvers;Malines;12041;2870;Puurs-Sint-Amands;65 - ...;Féminin;1669
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Masculin;92
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Féminin;89
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Masculin;896
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Féminin;1157
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Masculin;557
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Féminin;585
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Masculin;20
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Féminin;15
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Masculin;139
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Féminin;237
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Masculin;165
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Féminin;181
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Masculin;215
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Féminin;220
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Masculin;1897
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Féminin;2291
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Masculin;1494
Région flamande;Anvers;Turnhout;13003;2490;Balen;65 - ...;Féminin;1453
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Masculin;98
Région flamande;Anvers;Turnhout;13004;2340;Beerse;0 - 14;Féminin;105
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Masculin;1180
Région flamande;Anvers;Turnhout;13004;2340;Beerse;15 - 64;Féminin;1807
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Masculin;1050
Région flamande;Anvers;Turnhout;13004;2340;Beerse;65 - ...;Féminin;963
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Masculin;100
Région flamande;Anvers;Turnhout;13006;2480;Dessel;0 - 14;Féminin;53
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Masculin;683
Région flamande;Anvers;Turnhout;13006;2480;Dessel;15 - 64;Féminin;940
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Masculin;658
Région flamande;Anvers;Turnhout;13006;2480;Dessel;65 - ...;Féminin;570
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Masculin;460
Région flamande;Anvers;Turnhout;13008;2440;Geel;0 - 14;Féminin;315
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Masculin;3330
Région flamande;Anvers;Turnhout;13008;2440;Geel;15 - 64;Féminin;4283
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Masculin;2515
Région flamande;Anvers;Turnhout;13008;2440;Geel;65 - ...;Féminin;2381
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Masculin;66
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;0 - 14;Féminin;59
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Masculin;825
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;15 - 64;Féminin;1258
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Masculin;869
Région flamande;Anvers;Turnhout;13010;2280;Grobbendonk;65 - ...;Féminin;740
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Masculin;172
Région flamande;Anvers;Turnhout;13011;2200;Herentals;0 - 14;Féminin;135
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Masculin;2364
Région flamande;Anvers;Turnhout;13011;2200;Herentals;15 - 64;Féminin;3471
Région flamande;Anvers;Turnhout;13011;2200;Herentals;65 - ...;Masculin;1848
