région;province_ou_région_de_bruxelles-capitale;arrondissement;code_ins;code_postal;commune;classe_d_âge;sexe;hospita-_lisation_classique
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;15 - 64;Féminin;778
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Masculin;695
Région flamande;Anvers;Malines;12035;2860;Sint-Katelijne-Waver;65 - ...;Féminin;759
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Masculin;176
Région flamande;Anvers;Malines;12040;2830;Willebroek;0 - 14;Féminin;143
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Masculin;828
Région flamande;Anvers;Malines;12040;2830;Willebroek;15 - 64;Féminin;1.227
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Masculin;887
Région flamande;Anvers;Malines;12040;2830;Willebroek;65 - ...;Féminin;968
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Masculin;103
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;0 - 14;Féminin;90
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Masculin;473
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;15 - 64;Féminin;616
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Masculin;383
Région flamande;Anvers;Turnhout;13001;2370;Arendonk;65 - ...;Féminin;395
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Masculin;21
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;0 - 14;Féminin;14
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Masculin;50
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;15 - 64;Féminin;107
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Masculin;88
Région flamande;Anvers;Turnhout;13002;2387;Baerle-Duc;65 - ...;Féminin;75
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Masculin;249
Région flamande;Anvers;Turnhout;13003;2490;Balen;0 - 14;Féminin;216
Région flamande;Anvers;Turnhout;13003;2490;Balen;15 - 64;Masculin;862
